"sj","item","adv_type","adv_t","verb_t","gramm","ROI","label","fp","gp","tt","ri","ro"
"1","74","Deic","Past","Future","0","2","el sábado pasado",652,652,652,0,0
"1","74","Deic","Past","Future","0","3","los chavales",403,403,403,0,0
"1","74","Deic","Past","Future","0","4","sonrojarán",857,857,857,0,0
"1","74","Deic","Past","Future","0","5","a todas las chicas",501,501,501,0,0
"1","74","Deic","Past","Future","0","6","con minifalda.",369,369,369,0,0
"1","24","Non-deic","none","Past","1","1","En la fábrica,",795,795,795,0,0
"1","24","Non-deic","none","Past","1","2","a finales de junio",712,712,712,0,0
"1","24","Non-deic","none","Past","1","3","los obreros",553,553,553,0,0
"1","24","Non-deic","none","Past","1","4","aplastaron",631,631,631,0,0
"1","24","Non-deic","none","Past","1","5","las cajas",292,292,292,0,0
"1","24","Non-deic","none","Past","1","6","de madera.",382,382,382,0,0
"1","46","Non-deic","none","Future","1","1","Con un poquito de blanco,",886,886,1457,1,0
"1","46","Non-deic","none","Future","1","2","el fin de semana",212,1331,760,0,1
"1","46","Non-deic","none","Future","1","3","los inquilinos",334,334,334,0,0
"1","46","Non-deic","none","Future","1","4","atenuarán",364,364,364,0,0
"1","46","Non-deic","none","Future","1","5","el amarillo",409,409,652,1,0
"1","46","Non-deic","none","Future","1","6","de la pared.",277,520,277,0,1
"1","16","Deic","Future","Future","1","1","Afortunadamente,",554,554,554,0,0
"1","16","Deic","Future","Future","1","2","mañana",254,254,254,0,0
"1","16","Deic","Future","Future","1","3","las emisoras",1002,1002,1002,0,0
"1","16","Deic","Future","Future","1","4","transmitirán",363,363,363,0,0
"1","16","Deic","Future","Future","1","5","el partido",335,335,335,0,0
"1","16","Deic","Future","Future","1","6","de fútbol.",189,189,189,0,0
"1","64","Deic","Past","Past","1","1","Por la falta de vacunas,",1432,1432,1432,0,0
"1","64","Deic","Past","Past","1","2","el invierno pasado",773,773,773,0,0
"1","64","Deic","Past","Past","1","3","los catarros",247,247,689,1,0
"1","64","Deic","Past","Past","1","4","degeneraron",216,1746,1304,0,1
"1","64","Deic","Past","Past","1","5","en enfermedades",358,358,358,0,0
"1","64","Deic","Past","Past","1","6","contagiosas.",335,335,335,0,0
"1","12","Deic","Future","Future","1","1","Como de costumbre,",687,687,687,0,0
"1","12","Deic","Future","Future","1","2","el próximo año",661,661,661,0,0
"1","12","Deic","Future","Future","1","3","las empresas",254,254,254,0,0
"1","12","Deic","Future","Future","1","4","malgastarán",1603,1603,1603,0,0
"1","12","Deic","Future","Future","1","5","la subvención",502,502,502,0,0
"1","12","Deic","Future","Future","1","6","del gobierno.",258,258,258,0,0
"1","95","Deic","Future","Past","0","1","Durante el festival,",632,632,632,0,0
"1","95","Deic","Future","Past","0","2","dentro de un mes",850,850,850,0,0
"1","95","Deic","Future","Past","0","3","los voluntarios",243,243,243,0,0
"1","95","Deic","Future","Past","0","4","cooperaron",796,796,796,0,0
"1","95","Deic","Future","Past","0","5","para limpiar",443,443,443,0,0
"1","95","Deic","Future","Past","0","6","la plaza.",204,204,204,0,0
"1","42","Non-deic","none","Future","1","1","Con motivo del desfile,",848,848,848,0,0
"1","42","Non-deic","none","Future","1","2","el dos de octubre",751,751,751,0,0
"1","42","Non-deic","none","Future","1","3","los peluqueros",783,783,1107,1,0
"1","42","Non-deic","none","Future","1","4","alisarán",171,985,661,0,1
"1","42","Non-deic","none","Future","1","5","el pelo",276,276,276,0,0
"1","42","Non-deic","none","Future","1","6","a las modelos.",256,256,256,0,0
